segment,mode,status,signal_type,option_symbol,option_type,strike_price,expiry,entry_time,entry_price,current_price,current_lots,current_quantity,stop_loss_points,initial_sl_price,current_sl_price,trailing_stop_points,current_pnl_points,current_pnl_value,current_return_pct,pyramiding_count,last_pyramiding_time,update_time,exit_time,exit_price,exit_reason,final_pnl_points,final_pnl_value
NIFTY,LIVE,OPEN,SELL_CE,NIFTY26100CE,CE,26100.0,,2025-12-10T10:29:00,65.15,57.9,1,75,50.0,115.15,107.9,50.0,7.250000000000007,543.7500000000006,11.128165771297018,0,,2025-12-10T10:49:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY59700CE,CE,59700.0,,2025-12-10T10:29:00,545.25,541.5,1,35,50.0,595.25,591.5,50.0,3.75,131.25,0.6877579092159559,0,,2025-12-10T10:44:00,,,,,
NIFTY,LIVE,CLOSED,BUY_CE,NIFTY0CE,CE,0.0,,2025-12-10T10:29:00,64.45,48.6,1,75,50.0,114.45,114.45,50.0,15.850000000000001,1188.75,24.592707525213346,0,,2025-12-10T10:57:00,2025-12-10T10:57:00,48.6,Stop Loss order executed (SL order COMPLETE),15.850000000000001,1188.75
BANKNIFTY,LIVE,CLOSED,BUY_CE,BANKNIFTY0CE,CE,0.0,,2025-12-10T10:29:00,545.5,495.0,1,35,50.0,595.5,595.5,50.0,50.5,1767.5,9.25756186984418,0,,2025-12-10T10:57:00,2025-12-10T10:57:00,495.0,Stop Loss order executed (SL order COMPLETE),50.5,1767.5
SENSEX,LIVE,OPEN,SELL_CE,SENSEX85200CE,CE,85200.0,,2025-12-10T13:37:00,332.0,325.2,1,20,50.0,382.0,375.2,50.0,6.800000000000011,136.00000000000023,2.048192771084341,0,,2025-12-10T13:42:00,,,,,
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D1625650PE,PE,25650.0,2025-12-16,2025-12-10T11:40:00,46.95,46.95,1,75,50.0,96.95,96.95,50.0,0.0,0.0,0.0,0,,2025-12-10T11:40:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY59300CE,CE,59300.0,,2025-12-10T12:03:00,573.15,590.2,1,35,50.0,623.15,620.95,50.0,-17.050000000000068,-596.7500000000024,-2.9747884497950046,0,,2025-12-10T12:18:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_CE,BANKNIFTY59400CE,CE,59400.0,,2025-12-10T13:30:00,564.65,535.0,1,35,50.0,614.65,585.0,50.0,29.649999999999977,1037.749999999999,5.251040467546263,0,,2025-12-10T13:45:00,,,,,
NIFTY,LIVE,OPEN,SELL_PE,NIFTY25D1625550PE,PE,25550.0,2025-12-16,2025-12-10T14:22:00,45.85,45.85,1,75,50.0,95.85,95.85,50.0,0.0,0.0,0.0,0,,2025-12-10T14:22:00,,,,,
BANKNIFTY,LIVE,OPEN,SELL_PE,BANKNIFTY25DEC58600PE,PE,58600.0,2025-12-30,2025-12-10T14:22:00,359.55,359.55,1,35,50.0,409.55,409.55,50.0,0.0,0.0,0.0,0,,2025-12-10T14:22:00,,,,,
